Frame,Deformation (mm)
0,0.0
1,0.5813254864485119
2,0.5813254864485119
3,2.0959988301522383
4,1.1626509728970238
5,0.8221183730186655
6,0.5813254864485119
7,0.8221183730186655
8,0.0
9,0.0
10,1.2998833238371597
11,0.8221183730186655
12,0.8221183730186655
13,1.1626509728970238
14,0.5813254864485119
15,1.7439764593455358
16,1.2998833238371597
17,1.1626509728970238
18,1.2998833238371597
19,1.2998833238371597
20,1.2998833238371597
21,1.2998833238371597
22,1.7439764593455358
23,1.1626509728970238
24,1.2998833238371597
25,1.2998833238371597
26,1.2998833238371597
27,1.2998833238371597
28,0.8221183730186655
29,0.5813254864485119
30,0.5813254864485119
31,1.2998833238371597
32,1.7439764593455358
33,1.7439764593455358
34,1.838312621375586
35,1.7439764593455358
36,1.2998833238371597
37,1.7439764593455358
38,1.7439764593455358
39,1.7439764593455358
40,1.7439764593455358
41,1.7439764593455358
42,1.2998833238371597
43,1.2998833238371597
44,1.2998833238371597
45,1.2998833238371597
46,1.2998833238371597
47,1.2998833238371597
48,1.1626509728970238
49,1.838312621375586
50,1.2998833238371597
51,2.0959988301522383
52,1.2998833238371597
53,1.2998833238371597
54,1.7439764593455358
55,1.2998833238371597
56,1.2998833238371597
57,1.644236746037331
58,1.838312621375586
59,1.644236746037331
60,2.3968663255633245
61,2.0959988301522383
62,1.2998833238371597
63,1.2998833238371597
64,1.2998833238371597
65,1.2998833238371597
66,1.2998833238371597
67,1.2998833238371597
68,2.0959988301522383
69,2.0959988301522383
70,2.0959988301522383
71,2.0959988301522383
72,2.4663550497565985
73,2.0959988301522383
74,2.0959988301522383
75,3.389680828038736
76,3.288473492074662
77,2.9066274322425594
78,3.288473492074662
79,2.9066274322425594
80,2.9066274322425594
81,2.5997666476743193
82,2.0959988301522383
83,1.1626509728970238
84,2.0959988301522383
85,2.0959988301522383
86,1.2998833238371597
87,2.4663550497565985
88,2.0959988301522383
89,2.3968663255633245
90,1.2998833238371597
91,2.9066274322425594
92,2.9066274322425594
93,2.9066274322425594
94,3.288473492074662
95,3.389680828038736
96,2.4663550497565985
97,3.288473492074662
98,3.288473492074662
99,3.288473492074662
100,3.288473492074662
101,3.288473492074662
102,3.288473492074662
103,3.389680828038736
104,3.389680828038736
105,2.5997666476743193
106,2.9066274322425594
107,2.5997666476743193
108,2.5997666476743193
109,2.4663550497565985
110,2.5997666476743193
111,2.9066274322425594
112,2.9066274322425594
113,2.9066274322425594
114,3.1305335107496486
115,3.389680828038736
116,2.964190007196789
117,2.964190007196789
118,2.3968663255633245
119,2.5997666476743193
120,2.9066274322425594
121,2.9066274322425594
122,3.288473492074662
123,2.9066274322425594
124,2.9066274322425594
125,2.9066274322425594
126,3.288473492074662
127,3.288473492074662
128,3.288473492074662
129,3.288473492074662
130,2.5997666476743193
131,2.9066274322425594
132,2.9066274322425594
133,2.9066274322425594
134,2.4663550497565985
135,2.4663550497565985
136,1.838312621375586
137,1.838312621375586
138,1.1626509728970238
139,1.1626509728970238
